# Task deadlines (shelf_id -> absolute delivery-by step). Scrambled so PRIORITY != FIFO.
# covers ids 1..600 so it works for larger warehouses too.
shelf, deadline
1, 147
2, 184
3, 221
4, 258
5, 295
6, 332
7, 369
8, 406
9, 443
10, 140
11, 177
12, 214
13, 251
14, 288
15, 325
16, 362
17, 399
18, 436
19, 133
20, 170
21, 207
22, 244
23, 281
24, 318
25, 355
26, 392
27, 429
28, 126
29, 163
30, 200
31, 237
32, 274
33, 311
34, 348
35, 385
36, 422
37, 119
38, 156
39, 193
40, 230
41, 267
42, 304
43, 341
44, 378
45, 415
46, 112
47, 149
48, 186
49, 223
50, 260
51, 297
52, 334
53, 371
54, 408
55, 445
56, 142
57, 179
58, 216
59, 253
60, 290
61, 327
62, 364
63, 401
64, 438
65, 135
66, 172
67, 209
68, 246
69, 283
70, 320
71, 357
72, 394
73, 431
74, 128
75, 165
76, 202
77, 239
78, 276
79, 313
80, 350
81, 387
82, 424
83, 121
84, 158
85, 195
86, 232
87, 269
88, 306
89, 343
90, 380
91, 417
92, 114
93, 151
94, 188
95, 225
96, 262
97, 299
98, 336
99, 373
100, 410
101, 447
102, 144
103, 181
104, 218
105, 255
106, 292
107, 329
108, 366
109, 403
110, 440
111, 137
112, 174
113, 211
114, 248
115, 285
116, 322
117, 359
118, 396
119, 433
120, 130
121, 167
122, 204
123, 241
124, 278
125, 315
126, 352
127, 389
128, 426
129, 123
130, 160
131, 197
132, 234
133, 271
134, 308
135, 345
136, 382
137, 419
138, 116
139, 153
140, 190
141, 227
142, 264
143, 301
144, 338
145, 375
146, 412
147, 449
148, 146
149, 183
150, 220
151, 257
152, 294
153, 331
154, 368
155, 405
156, 442
157, 139
158, 176
159, 213
160, 250
161, 287
162, 324
163, 361
164, 398
165, 435
166, 132
167, 169
168, 206
169, 243
170, 280
171, 317
172, 354
173, 391
174, 428
175, 125
176, 162
177, 199
178, 236
179, 273
180, 310
181, 347
182, 384
183, 421
184, 118
185, 155
186, 192
187, 229
188, 266
189, 303
190, 340
191, 377
192, 414
193, 111
194, 148
195, 185
196, 222
197, 259
198, 296
199, 333
200, 370
201, 407
202, 444
203, 141
204, 178
205, 215
206, 252
207, 289
208, 326
209, 363
210, 400
211, 437
212, 134
213, 171
214, 208
215, 245
216, 282
217, 319
218, 356
219, 393
220, 430
221, 127
222, 164
223, 201
224, 238
225, 275
226, 312
227, 349
228, 386
229, 423
230, 120
231, 157
232, 194
233, 231
234, 268
235, 305
236, 342
237, 379
238, 416
239, 113
240, 150
241, 187
242, 224
243, 261
244, 298
245, 335
246, 372
247, 409
248, 446
249, 143
250, 180
251, 217
252, 254
253, 291
254, 328
255, 365
256, 402
257, 439
258, 136
259, 173
260, 210
261, 247
262, 284
263, 321
264, 358
265, 395
266, 432
267, 129
268, 166
269, 203
270, 240
271, 277
272, 314
273, 351
274, 388
275, 425
276, 122
277, 159
278, 196
279, 233
280, 270
281, 307
282, 344
283, 381
284, 418
285, 115
286, 152
287, 189
288, 226
289, 263
290, 300
291, 337
292, 374
293, 411
294, 448
295, 145
296, 182
297, 219
298, 256
299, 293
300, 330
