# Per-task VALUE = reward for delivering this shelf ON TIME (late = 0).
# uncorrelated with deadline so value-priority differs from deadline-priority.
shelf, value
1, 4
2, 7
3, 10
4, 3
5, 6
6, 9
7, 2
8, 5
9, 8
10, 1
11, 4
12, 7
13, 10
14, 3
15, 6
16, 9
17, 2
18, 5
19, 8
20, 1
21, 4
22, 7
23, 10
24, 3
25, 6
26, 9
27, 2
28, 5
29, 8
30, 1
31, 4
32, 7
33, 10
34, 3
35, 6
36, 9
37, 2
38, 5
39, 8
40, 1
41, 4
42, 7
43, 10
44, 3
45, 6
46, 9
47, 2
48, 5
49, 8
50, 1
51, 4
52, 7
53, 10
54, 3
55, 6
56, 9
57, 2
58, 5
59, 8
60, 1
61, 4
62, 7
63, 10
64, 3
65, 6
66, 9
67, 2
68, 5
69, 8
70, 1
71, 4
72, 7
73, 10
74, 3
75, 6
76, 9
77, 2
78, 5
79, 8
80, 1
81, 4
82, 7
83, 10
84, 3
85, 6
86, 9
87, 2
88, 5
89, 8
90, 1
91, 4
92, 7
93, 10
94, 3
95, 6
96, 9
97, 2
98, 5
99, 8
100, 1
101, 4
102, 7
103, 10
104, 3
105, 6
106, 9
107, 2
108, 5
109, 8
110, 1
111, 4
112, 7
113, 10
114, 3
115, 6
116, 9
117, 2
118, 5
119, 8
120, 1
121, 4
122, 7
123, 10
124, 3
125, 6
126, 9
127, 2
128, 5
129, 8
130, 1
131, 4
132, 7
133, 10
134, 3
135, 6
136, 9
137, 2
138, 5
139, 8
140, 1
141, 4
142, 7
143, 10
144, 3
145, 6
146, 9
147, 2
148, 5
149, 8
150, 1
151, 4
152, 7
153, 10
154, 3
155, 6
156, 9
157, 2
158, 5
159, 8
160, 1
161, 4
162, 7
163, 10
164, 3
165, 6
166, 9
167, 2
168, 5
169, 8
170, 1
171, 4
172, 7
173, 10
174, 3
175, 6
176, 9
177, 2
178, 5
179, 8
180, 1
181, 4
182, 7
183, 10
184, 3
185, 6
186, 9
187, 2
188, 5
189, 8
190, 1
191, 4
192, 7
193, 10
194, 3
195, 6
196, 9
197, 2
198, 5
199, 8
200, 1
201, 4
202, 7
203, 10
204, 3
205, 6
206, 9
207, 2
208, 5
209, 8
210, 1
211, 4
212, 7
213, 10
214, 3
215, 6
216, 9
217, 2
218, 5
219, 8
220, 1
221, 4
222, 7
223, 10
224, 3
225, 6
226, 9
227, 2
228, 5
229, 8
230, 1
231, 4
232, 7
233, 10
234, 3
235, 6
236, 9
237, 2
238, 5
