arm,regime,seed,onv,delivered,hit_rate,tard_mean,tard_p95,energy_per_task,stranded,frozen,collisions
fifo,wave,1,951.6,33,0.8395,159.23,410,,0,0,0
fifo,wave,2,635.0,23,0.8793,82.43,197,,0,0,0
fifo,wave,8,555.7,32,0.7679,201.38,248,,0,0,0
fifo,wave,5,616.3,34,0.8333,260.36,321,,0,0,0
fifo,wave,3,809.5,28,0.9104,152.5,199,,0,0,0
fifo,wave,4,857.4,32,0.85,117.92,364,,0,0,0
fifo,wave,7,709.7,25,0.6721,82.9,150,,0,0,0
fifo,wave,6,563.0,29,0.6711,99.04,291,,0,0,0
fifo,wave,9,960.9,36,0.7722,151.89,353,,0,0,0
fifo,wave,10,670.6,27,0.8947,28.0,50,,0,0,0
fifo,wave,12,941.9,23,0.8387,117.4,257,,0,0,0
fifo,wave,11,549.6,17,0.8444,60.29,93,,0,0,0
fifo,wave,13,912.5,24,0.7045,113.5,188,,0,0,0
fifo,wave,15,1006.2,37,0.8395,269.31,394,,0,0,0
fifo,wave,14,934.9,32,0.716,63.52,151,,0,0,0
fifo,wave,16,724.1,30,0.7143,92.21,206,,0,0,0
fifo,wave,17,885.2,26,0.7439,118.9,245,,0,0,0
fifo,wave,18,728.6,31,0.7671,125.35,395,,0,0,0
fifo,wave,19,690.6,31,0.6053,74.57,143,,0,0,0
fifo,wave,20,797.5,17,0.6757,135.92,277,,0,0,0
fifo,wave,23,814.1,26,0.8,121.23,305,,0,0,0
fifo,wave,22,1279.1,30,0.7444,130.96,342,,0,0,0
fifo,wave,21,1061.6,32,0.6322,78.78,246,,0,0,0
fifo,wave,24,848.5,37,0.8824,168.1,318,,0,0,0
fifo,wave,25,450.3,31,0.5455,84.33,202,,0,0,0
fifo,wave,26,456.4,16,0.68,115.44,269,,0,0,0
fifo,wave,28,556.2,29,0.6118,117.67,260,,0,0,0
fifo,wave,27,663.4,27,0.6364,111.21,269,,0,1,0
fifo,wave,30,905.9,28,0.8395,83.54,138,,0,0,0
fifo,wave,29,1033.5,27,0.8,78.87,131,,0,0,0
fifo,wave,31,946.1,30,0.8182,103.86,287,,0,0,0
fifo,wave,32,640.0,22,0.6667,85.8,143,,0,0,0
fifo,wave,33,977.4,30,0.7444,64.78,117,,0,0,0
fifo,wave,35,864.3,20,0.7349,120.41,339,,0,0,0
fifo,wave,36,791.2,29,0.7089,104.43,224,,0,0,0
fifo,wave,34,590.3,15,0.8571,60.67,55,,0,0,0
fifo,wave,37,690.3,26,0.7024,99.24,212,,0,0,0
fifo,wave,39,768.8,36,0.686,68.67,176,,0,0,0
fifo,wave,40,1173.7,31,0.7778,133.9,416,,0,0,0
fifo,wave,38,1068.5,31,0.8077,89.8,267,,0,0,0
fifo,wave,41,743.3,13,0.7544,171.36,373,,0,0,0
fifo,wave,42,920.2,19,0.6364,121.14,300,,0,0,0
fifo,wave,43,1320.4,33,0.8316,106.0,321,,0,0,0
fifo,wave,44,746.2,30,0.6279,103.69,277,,0,0,0
fifo,wave,45,867.6,30,0.8222,89.44,305,,0,0,0
fifo,wave,46,1041.4,34,0.8434,132.46,316,,0,0,0
fifo,wave,47,1102.6,38,0.8211,129.18,364,,0,0,0
fifo,wave,48,484.7,27,0.5714,104.03,172,,0,0,0
fifo,wave,49,815.3,29,0.6915,114.76,278,,0,0,0
fifo,wave,50,866.0,25,0.7561,103.55,309,,0,0,0
fifo,wave,51,964.9,30,0.8353,73.71,110,,0,0,0
fifo,wave,54,1498.6,35,0.8901,194.6,375,,0,0,0
fifo,wave,52,1177.3,33,0.9,285.33,364,,0,0,0
fifo,wave,53,941.9,21,0.7632,107.56,289,,0,0,0
fifo,wave,56,811.2,25,0.7692,107.27,283,,0,0,0
fifo,wave,55,790.1,30,0.7,109.25,265,,0,0,0
fifo,wave,57,875.0,30,0.7654,68.0,282,,0,0,0
fifo,wave,58,771.3,25,0.8182,67.5,132,,0,0,0
fifo,wave,59,644.6,24,0.7027,133.23,319,,0,0,0
fifo,wave,60,1260.4,36,0.9211,91.83,132,,0,0,0
fifo,wave,62,833.4,31,0.8136,231.0,386,,0,0,0
fifo,wave,61,635.3,32,0.6447,76.19,177,,0,0,0
fifo,wave,63,775.3,30,0.7424,86.82,235,,0,0,0
fifo,wave,64,803.1,25,0.8551,116.0,215,,0,0,0
