arm,regime,seed,onv,delivered,hit_rate,tard_mean,tard_p95,energy_per_task,stranded,frozen,collisions
fifo,wave,1,887.7,26,0.8493,104.27,200,,0,0,0
fifo,wave,7,262.4,12,0.4167,187.57,333,,0,0,0
fifo,wave,3,809.5,28,0.9104,149.67,199,,0,1,0
fifo,wave,2,472.5,21,0.9216,106.75,85,,0,0,0
fifo,wave,4,710.7,20,0.9077,66.83,103,,0,1,0
fifo,wave,5,561.5,27,0.8793,114.0,220,,0,0,0
fifo,wave,6,483.6,23,0.5882,100.96,201,,0,0,0
fifo,wave,8,555.7,32,0.7679,205.62,255,,0,1,0
fifo,wave,9,898.7,29,0.8056,128.43,372,,0,0,0
fifo,wave,10,398.6,16,0.7381,77.45,186,,0,0,0
fifo,wave,11,547.5,15,0.8605,100.67,211,,0,0,0
fifo,wave,12,799.4,16,0.8039,114.7,205,,0,0,0
fifo,wave,13,912.5,24,0.7045,112.58,181,,0,0,0
fifo,wave,15,994.5,33,0.8571,264.45,361,,0,0,0
fifo,wave,16,723.7,32,0.7093,99.48,206,,0,0,0
fifo,wave,14,933.9,33,0.7073,70.04,179,,0,0,0
fifo,wave,18,532.0,14,0.82,39.89,91,,0,0,0
fifo,wave,17,871.1,25,0.7407,121.43,235,,0,2,0
fifo,wave,20,797.5,17,0.6757,133.71,262,,0,0,0
fifo,wave,19,700.6,32,0.5974,73.23,150,,0,0,0
fifo,wave,22,886.0,18,0.7534,121.11,248,,0,1,0
fifo,wave,21,1007.5,26,0.6447,64.15,133,,0,0,0
fifo,wave,23,783.2,23,0.7903,128.46,303,,0,0,0
fifo,wave,24,570.8,17,0.873,97.0,198,,0,0,0
fifo,wave,25,531.7,24,0.6786,79.06,168,,0,0,0
fifo,wave,26,188.6,7,0.7895,37.5,33,,0,0,0
fifo,wave,27,619.5,30,0.5765,137.56,368,,0,0,0
fifo,wave,28,557.8,25,0.6753,120.36,247,,0,2,0
fifo,wave,29,939.5,27,0.75,62.16,133,,0,1,0
fifo,wave,30,647.2,17,0.7966,101.08,242,,0,0,0
fifo,wave,31,801.2,32,0.725,85.82,241,,0,0,0
fifo,wave,32,635.7,21,0.6622,87.32,191,,0,0,0
fifo,wave,33,672.6,17,0.75,191.12,376,,0,0,0
fifo,wave,36,775.4,25,0.803,120.46,365,,0,0,0
fifo,wave,35,856.8,21,0.7059,123.0,339,,0,0,0
fifo,wave,34,538.9,14,0.8293,33.43,62,,0,0,0
fifo,wave,37,669.6,17,0.7534,78.78,172,,0,0,0
fifo,wave,38,725.0,14,0.7586,89.57,178,,0,0,0
fifo,wave,40,1077.0,24,0.7778,85.61,200,,0,1,0
fifo,wave,39,601.2,25,0.6338,74.27,207,,0,0,0
fifo,wave,41,765.5,15,0.7627,59.93,142,,0,0,0
fifo,wave,42,771.7,14,0.5938,106.69,270,,0,0,0
fifo,wave,43,1049.5,23,0.7952,103.82,304,,0,0,0
fifo,wave,44,675.1,29,0.6164,92.11,174,,0,1,0
fifo,wave,45,822.7,27,0.8023,113.76,380,,0,0,0
fifo,wave,48,413.9,21,0.5484,160.86,288,,0,0,0
fifo,wave,47,1050.4,28,0.8452,95.77,244,,0,2,0
fifo,wave,46,870.4,26,0.7838,114.88,318,,0,0,0
fifo,wave,49,724.1,20,0.7532,134.16,287,,0,0,0
fifo,wave,50,808.4,29,0.7468,95.2,292,,0,1,0
fifo,wave,51,445.6,6,0.7907,125.56,261,,0,0,0
fifo,wave,52,1149.6,27,0.9048,222.25,378,,0,1,0
fifo,wave,53,924.1,19,0.7534,121.39,277,,0,0,0
fifo,wave,54,1310.2,28,0.8214,150.53,362,,0,0,0
fifo,wave,55,691.7,24,0.7015,84.15,218,,0,3,0
fifo,wave,56,778.3,23,0.7742,114.36,288,,0,0,0
fifo,wave,57,869.9,31,0.7561,66.6,275,,0,1,0
fifo,wave,58,506.3,15,0.7258,125.0,295,,0,0,0
fifo,wave,59,611.2,18,0.7846,129.71,311,,0,0,0
fifo,wave,60,1260.4,35,0.9333,78.2,132,,0,0,0
fifo,wave,62,833.4,29,0.8421,211.0,345,,0,0,0
fifo,wave,61,634.5,24,0.7538,91.0,148,,0,0,0
fifo,wave,63,745.1,28,0.75,95.44,231,,0,0,0
fifo,wave,64,765.7,24,0.8923,76.29,146,,0,0,0
fifo,wave,65,378.7,16,0.5818,145.96,271,,0,1,0
fifo,wave,66,565.8,22,0.7222,93.35,181,,0,0,0
fifo,wave,67,920.6,27,0.8333,208.55,313,,0,0,0
fifo,wave,68,903.5,23,0.8615,39.44,77,,0,0,0
fifo,wave,69,748.0,32,0.8696,182.11,299,,0,1,0
fifo,wave,70,539.1,20,0.6271,105.09,214,,0,0,0
fifo,wave,71,786.0,24,0.8657,106.44,287,,0,0,0
fifo,wave,72,548.0,23,0.6866,116.9,234,,0,0,0
fifo,wave,73,710.4,29,0.7778,166.21,409,,0,0,0
fifo,wave,74,713.9,25,0.8636,79.89,135,,0,0,0
fifo,wave,75,576.5,30,0.8065,157.25,297,,0,0,0
fifo,wave,76,376.1,21,0.6977,141.31,246,,0,0,0
