arm,seed,vertex_collisions,swap_collisions,replans,disturb_events,replans_per_disturb,steps_stuck
fifo,1,0,0,30,6,5.0,0
fifo,2,0,0,67,10,6.7,550
fifo,3,0,0,42,15,2.8,158
fifo,4,0,0,260,6,43.33,274
fifo,5,0,0,51,9,5.67,462
fifo,6,0,0,112,9,12.44,541
fifo,7,0,0,11,13,0.85,0
fifo,8,0,0,37,15,2.47,107
fifo,9,0,0,64,12,5.33,309
fifo,10,0,0,28,10,2.8,653
fifo,11,0,0,41,7,5.86,185
fifo,12,0,0,76,17,4.47,443
fifo,13,0,0,167,10,16.7,0
fifo,14,0,0,79,10,7.9,0
fifo,15,0,0,45,6,7.5,371
fifo,16,0,0,48,4,12.0,0
fifo,17,0,0,125,11,11.36,269
fifo,18,0,0,47,11,4.27,483
fifo,19,0,0,102,12,8.5,31
fifo,20,0,0,101,8,12.62,79
fifo,21,0,0,80,10,8.0,205
fifo,22,0,0,70,13,5.38,919
fifo,23,0,0,65,11,5.91,318
fifo,24,0,0,66,8,8.25,491
fifo,25,0,0,77,10,7.7,85
fifo,26,0,0,15,9,1.67,352
fifo,27,0,0,41,11,3.73,610
fifo,28,0,0,48,15,3.2,479
fifo,29,0,0,56,13,4.31,202
fifo,30,0,0,19,4,4.75,302
fifo,31,0,0,105,5,21.0,0
fifo,32,0,0,119,8,14.88,426
fifo,33,0,0,34,8,4.25,615
fifo,34,0,0,23,10,2.3,0
fifo,35,0,0,113,11,10.27,335
fifo,36,0,0,26,8,3.25,375
fifo,37,0,0,180,9,20.0,259
fifo,38,0,0,75,10,7.5,440
fifo,39,0,0,71,6,11.83,257
fifo,40,0,0,85,11,7.73,306
fifo,41,0,0,218,6,36.33,80
fifo,42,0,0,30,5,6.0,388
fifo,43,0,0,56,12,4.67,200
fifo,44,0,0,63,6,10.5,113
fifo,45,0,0,114,6,19.0,564
fifo,46,0,0,52,9,5.78,316
fifo,47,0,0,79,13,6.08,307
fifo,48,0,0,61,8,7.62,213
rush,1,0,0,83,6,13.83,229
rush,2,0,0,64,10,6.4,233
rush,3,0,0,71,15,4.73,220
rush,4,0,0,156,6,26.0,617
rush,5,0,0,161,9,17.89,162
rush,6,0,0,112,9,12.44,537
rush,7,0,0,98,13,7.54,119
rush,8,0,0,68,15,4.53,181
rush,9,0,0,120,12,10.0,985
rush,10,0,0,60,10,6.0,714
rush,11,0,0,102,7,14.57,214
rush,12,0,0,157,17,9.24,260
rush,13,0,0,194,10,19.4,0
