config,arm,n_seeds,mean_value,vs_fixed_pct,t_stat,frozen,stranded,trips,mean_P,mean_theta,mean_cap
large-8-6,fixed,36,880.07,0.00,0.00,0,8,18903,1.50,0.40,2.00
large-8-6,mpc,36,881.42,0.15,1.52,0,7,19546,1.52,0.41,1.99
medium-5-4,fixed,36,847.47,0.00,0.00,0,7,9029,1.50,0.40,2.00
medium-5-4,mpc,36,848.65,0.14,1.25,0,7,9084,1.51,0.40,2.00
small-4-3,fixed,36,846.96,0.00,0.00,0,0,4812,1.50,0.40,2.00
small-4-3,mpc,36,846.74,-0.03,-0.54,0,0,4829,1.51,0.40,1.98
extralarge-12-8,fixed,36,856.22,0.00,0.00,0,5,27636,1.50,0.40,2.00
extralarge-12-8,mpc,36,861.28,0.59,1.42,0,5,28484,1.51,0.40,1.99
large-12-8,fixed,36,865.97,0.00,0.00,0,4,32063,1.50,0.40,2.00
large-12-8,mpc,36,870.53,0.53,1.62,0,2,33553,1.52,0.41,2.00
large-5-4,fixed,36,804.23,0.00,0.00,0,5,7903,1.50,0.40,2.00
large-5-4,mpc,36,806.66,0.30,1.59,0,5,8033,1.56,0.40,2.00
extralarge-16-9,fixed,36,839.49,0.00,0.00,0,5,36567,1.50,0.40,2.00
extralarge-16-9,mpc,36,849.14,1.15,1.92,0,5,36131,1.52,0.40,2.01
medium-8-6,fixed,36,906.24,0.00,0.00,0,3,21841,1.50,0.40,2.00
medium-8-6,mpc,36,909.15,0.32,1.01,0,3,21654,1.54,0.40,1.94
extralarge-16-9,fixed,36,754.22,0.00,0.00,0,8,32696,1.50,0.40,2.00
extralarge-16-9,mpc,36,756.03,0.24,0.80,0,8,32764,1.52,0.40,1.90
extralarge-16-9,fixed,36,681.35,0.00,0.00,0,8,32045,1.50,0.40,2.00
extralarge-16-9,mpc,36,687.48,0.90,2.16,0,5,33195,1.49,0.41,1.98
large-12-8,fixed,36,777.82,0.00,0.00,0,3,32722,1.50,0.40,2.00
large-12-8,mpc,36,781.62,0.49,1.23,0,5,36130,1.53,0.42,1.99
large-5-4,fixed,36,771.29,0.00,0.00,0,3,9881,1.50,0.40,2.00
large-5-4,mpc,36,773.23,0.25,1.28,0,3,9874,1.52,0.40,2.00
large-8-6,fixed,36,799.53,0.00,0.00,0,2,19137,1.50,0.40,2.00
large-8-6,mpc,36,804.96,0.68,1.16,0,2,19891,1.51,0.41,2.00
large-8-6,fixed,36,763.89,0.00,0.00,0,4,24076,1.50,0.40,2.00
large-8-6,mpc,36,764.13,0.03,0.25,0,5,24358,1.51,0.41,1.96
large-8-6,fixed,36,694.14,0.00,0.00,0,3,21666,1.50,0.40,2.00
large-8-6,mpc,36,694.21,0.01,0.20,0,3,22149,1.52,0.40,2.00
extralarge-12-8,fixed,36,740.33,0.00,0.00,0,4,29580,1.50,0.40,2.00
extralarge-12-8,mpc,36,745.27,0.67,2.06,0,4,30325,1.50,0.41,1.96
