config,seed,t,P,theta,cap,score,adopted
small-4-3,1,50,1.80,0.40,2,712.5,0
small-4-3,1,50,1.30,0.40,2,712.5,0
small-4-3,1,50,1.50,0.50,2,712.5,0
small-4-3,1,50,1.50,0.40,2,712.5,1
small-4-3,1,100,1.50,0.33,2,125.6,0
small-4-3,1,100,1.50,0.40,1,125.6,0
small-4-3,1,100,1.50,0.40,3,125.6,0
small-4-3,1,100,1.50,0.40,2,125.6,1
small-4-3,1,150,1.80,0.40,2,49.7,0
small-4-3,1,150,1.30,0.40,2,49.7,0
small-4-3,1,150,1.50,0.50,2,49.7,0
small-4-3,1,150,1.50,0.40,2,49.7,1
small-4-3,1,200,1.50,0.33,2,69.7,0
small-4-3,1,200,1.50,0.40,1,69.7,0
small-4-3,1,200,1.50,0.40,3,69.7,0
small-4-3,1,200,1.50,0.40,2,69.7,1
small-4-3,1,250,1.80,0.40,2,80.0,0
small-4-3,1,250,1.30,0.40,2,80.0,0
small-4-3,1,250,1.50,0.50,2,80.0,0
small-4-3,1,250,1.50,0.40,2,80.0,1
small-4-3,1,300,1.50,0.33,2,75.8,0
small-4-3,1,300,1.50,0.40,1,75.8,0
small-4-3,1,300,1.50,0.40,3,75.8,0
small-4-3,1,300,1.50,0.40,2,75.8,1
small-4-3,1,350,1.80,0.40,2,40.3,0
small-4-3,1,350,1.30,0.40,2,40.3,0
small-4-3,1,350,1.50,0.50,2,40.3,0
small-4-3,1,350,1.50,0.40,2,40.3,1
small-4-3,1,400,1.50,0.33,2,8.0,0
small-4-3,1,400,1.50,0.40,1,8.0,0
small-4-3,1,400,1.50,0.40,3,8.0,0
small-4-3,1,400,1.50,0.40,2,8.0,1
small-4-3,1,450,1.80,0.40,2,2.2,0
small-4-3,1,450,1.30,0.40,2,2.2,0
small-4-3,1,450,1.50,0.50,2,2.2,0
small-4-3,1,450,1.50,0.40,2,2.2,1
small-4-3,2,50,1.80,0.40,2,306.9,0
small-4-3,2,50,1.30,0.40,2,306.9,0
small-4-3,2,50,1.50,0.50,2,306.9,0
small-4-3,2,50,1.50,0.40,2,306.9,1
small-4-3,2,100,1.50,0.33,2,74.2,0
small-4-3,2,100,1.50,0.40,1,74.2,0
small-4-3,2,100,1.50,0.40,3,74.2,0
small-4-3,2,100,1.50,0.40,2,74.2,1
small-4-3,2,150,1.80,0.40,2,61.9,0
small-4-3,2,150,1.30,0.40,2,61.9,0
small-4-3,2,150,1.50,0.50,2,61.9,0
small-4-3,2,150,1.50,0.40,2,61.9,1
small-4-3,2,200,1.50,0.33,2,47.7,0
small-4-3,2,200,1.50,0.40,1,47.7,0
small-4-3,2,200,1.50,0.40,3,47.7,0
small-4-3,2,200,1.50,0.40,2,47.7,1
small-4-3,2,250,1.80,0.40,2,81.4,0
small-4-3,2,250,1.30,0.40,2,81.4,0
small-4-3,2,250,1.50,0.50,2,81.4,0
small-4-3,2,250,1.50,0.40,2,81.4,1
small-4-3,2,300,1.50,0.33,2,107.1,0
small-4-3,2,300,1.50,0.40,1,107.1,0
small-4-3,2,300,1.50,0.40,3,107.1,0
small-4-3,2,300,1.50,0.40,2,107.1,1
small-4-3,2,350,1.80,0.40,2,64.5,0
small-4-3,2,350,1.30,0.40,2,64.5,0
small-4-3,2,350,1.50,0.50,2,64.5,0
small-4-3,2,350,1.50,0.40,2,64.5,1
small-4-3,2,400,1.50,0.33,2,25.4,0
small-4-3,2,400,1.50,0.40,1,25.4,0
small-4-3,2,400,1.50,0.40,3,25.4,0
small-4-3,2,400,1.50,0.40,2,25.4,1
small-4-3,2,450,1.80,0.40,2,0.0,0
small-4-3,2,450,1.30,0.40,2,0.0,0
small-4-3,2,450,1.50,0.50,2,0.0,0
small-4-3,2,450,1.50,0.40,2,0.0,1
small-4-3,3,50,1.80,0.40,2,311.4,0
small-4-3,3,50,1.30,0.40,2,311.4,0
small-4-3,3,50,1.50,0.50,2,311.4,0
small-4-3,3,50,1.50,0.40,2,311.4,1
small-4-3,3,100,1.50,0.33,2,247.4,0
small-4-3,3,100,1.50,0.40,1,247.4,0
small-4-3,3,100,1.50,0.40,3,247.4,0
small-4-3,3,100,1.50,0.40,2,247.4,1
small-4-3,3,150,1.80,0.40,2,148.3,0
small-4-3,3,150,1.30,0.40,2,148.3,0
small-4-3,3,150,1.50,0.50,2,148.3,0
small-4-3,3,150,1.50,0.40,2,148.3,1
small-4-3,3,200,1.50,0.33,2,50.0,0
small-4-3,3,200,1.50,0.40,1,50.0,0
small-4-3,3,200,1.50,0.40,3,50.0,0
small-4-3,3,200,1.50,0.40,2,50.0,1
small-4-3,3,250,1.80,0.40,2,101.2,0
small-4-3,3,250,1.30,0.40,2,101.2,0
small-4-3,3,250,1.50,0.50,2,101.2,0
small-4-3,3,250,1.50,0.40,2,101.2,1
small-4-3,3,300,1.50,0.33,2,79.8,0
small-4-3,3,300,1.50,0.40,1,79.8,0
small-4-3,3,300,1.50,0.40,3,79.8,0
small-4-3,3,300,1.50,0.40,2,79.8,1
small-4-3,3,350,1.80,0.40,2,19.1,0
