frac,seed,onv,delivered,frozen,stranded,spare_cells
-1.0,97,264.2,21,0,0,0
-1.0,98,276.1,22,0,0,0
-1.0,99,238.0,21,0,0,0
-1.0,100,390.9,21,0,0,0
-1.0,101,334.9,27,0,0,0
-1.0,102,394.3,29,0,0,0
-1.0,103,437.7,29,0,0,0
-1.0,104,237.3,20,0,0,0
-1.0,105,268.3,23,0,0,0
-1.0,106,206.3,19,0,0,0
-1.0,107,511.4,21,0,0,0
-1.0,108,265.0,20,0,0,0
-1.0,109,265.3,27,0,0,0
-1.0,110,201.8,16,0,0,0
-1.0,111,455.7,26,0,0,0
-1.0,112,90.6,12,0,0,0
-1.0,113,350.3,26,0,0,0
-1.0,114,354.8,22,0,0,0
-1.0,115,434.1,27,0,0,0
-1.0,116,260.2,22,0,0,0
-1.0,117,194.3,19,0,0,0
-1.0,118,135.7,11,0,0,0
-1.0,119,237.3,18,0,0,0
-1.0,120,269.1,21,0,0,0
-1.0,121,423.7,21,0,0,0
-1.0,122,227.2,20,0,0,0
-1.0,123,133.3,9,0,0,0
-1.0,124,176.8,15,0,0,0
-1.0,125,228.6,19,2,0,0
-1.0,126,323.4,20,0,0,0
-1.0,127,231.5,17,0,0,0
-1.0,128,151.8,17,0,0,0
-1.0,129,193.9,23,0,0,0
-1.0,130,96.0,16,0,0,0
-1.0,131,123.0,10,0,0,0
-1.0,132,360.4,20,0,0,0
-1.0,133,254.3,15,0,0,0
-1.0,134,446.5,24,0,0,0
-1.0,135,311.2,26,0,0,0
-1.0,136,305.3,22,0,0,0
-1.0,137,391.3,25,0,0,0
-1.0,138,168.8,25,0,0,0
-1.0,139,486.4,28,0,0,0
-1.0,140,516.1,27,0,0,0
-1.0,141,234.5,18,0,0,0
-1.0,142,348.6,26,0,0,0
-1.0,143,262.1,26,0,0,0
-1.0,144,470.1,25,0,0,0
0.0,97,235.1,20,0,0,0
0.0,98,194.3,18,0,0,0
0.0,99,190.0,23,0,0,0
0.0,100,330.7,22,0,0,0
0.0,101,369.0,29,0,0,0
0.0,102,227.5,22,0,0,0
0.0,103,397.5,27,0,0,0
0.0,104,244.3,20,0,0,0
0.0,105,243.0,21,0,0,0
0.0,106,164.7,12,2,0,0
0.0,107,329.5,19,0,0,0
0.0,108,219.8,16,0,0,0
0.0,109,237.0,24,0,0,0
0.0,110,169.5,16,0,0,0
0.0,111,583.2,29,0,0,0
0.0,112,90.6,12,0,0,0
0.0,113,337.4,25,0,0,0
0.0,114,381.0,24,0,0,0
0.0,115,437.8,28,0,0,0
0.0,116,213.2,22,0,0,0
0.0,117,284.7,18,0,0,0
0.0,118,135.7,10,0,0,0
0.0,119,147.0,17,0,0,0
0.0,120,325.0,20,0,0,0
0.0,121,354.3,17,0,0,0
0.0,122,251.5,18,0,0,0
0.0,123,128.3,8,0,0,0
0.0,124,123.9,13,0,0,0
0.0,125,238.5,15,0,0,0
0.0,126,323.4,20,0,0,0
0.0,127,231.5,17,0,0,0
0.0,128,166.0,18,0,0,0
0.0,129,164.6,21,0,0,0
0.0,130,223.6,15,0,0,0
0.0,131,114.2,9,0,0,0
0.0,132,377.8,20,0,0,0
0.0,133,315.9,20,0,0,0
0.0,134,409.3,25,0,0,0
0.0,135,401.3,28,0,0,0
0.0,136,260.9,22,0,0,0
0.0,137,402.1,26,0,0,0
0.0,138,191.0,25,0,0,0
0.0,139,423.0,26,0,0,0
0.0,140,530.0,26,0,0,0
0.0,141,381.9,18,0,0,0
0.0,142,380.8,25,0,0,0
0.0,143,262.1,26,0,0,0
0.0,144,456.8,23,0,0,0
0.02,97,375.2,25,0,0,3
0.02,98,197.6,20,0,0,3
0.02,99,284.6,23,0,0,3
0.02,100,386.7,20,0,0,3
0.02,101,350.3,28,0,0,3
0.02,102,217.4,20,0,0,3
0.02,103,475.8,28,0,0,3
0.02,104,254.5,20,0,0,3
0.02,105,239.0,20,0,0,3
0.02,106,164.7,12,2,0,3
0.02,107,328.2,17,0,0,3
0.02,108,262.1,19,0,0,3
0.02,109,237.5,25,0,0,3
0.02,110,174.7,15,0,0,3
0.02,111,493.4,27,0,0,3
0.02,112,99.9,12,0,0,3
0.02,113,346.1,24,0,0,3
0.02,114,394.3,23,0,0,3
0.02,115,417.3,27,0,0,3
0.02,116,222.0,19,0,0,3
0.02,117,188.1,19,0,0,3
0.02,118,135.7,10,0,0,3
0.02,119,147.7,17,0,0,3
0.02,120,296.8,24,0,0,3
0.02,121,370.0,18,0,0,3
0.02,122,214.2,19,0,0,3
0.02,123,127.4,8,0,0,3
0.02,124,123.9,13,0,0,3
0.02,125,239.5,15,0,0,3
0.02,126,309.4,19,0,0,3
0.02,127,227.4,16,0,0,3
0.02,128,177.9,19,0,0,3
0.02,129,167.5,20,0,0,3
0.02,130,120.4,16,0,0,3
0.02,131,119.5,9,0,0,3
0.02,132,390.6,20,0,0,3
0.02,133,306.4,19,0,0,3
0.02,134,432.2,26,0,0,3
0.02,135,359.0,28,0,0,3
0.02,136,296.2,23,0,0,3
0.02,137,367.4,22,0,0,3
0.02,138,188.3,25,0,0,3
0.02,139,414.1,27,0,0,3
0.02,140,516.1,29,0,0,3
0.02,141,224.5,18,0,0,3
0.02,142,339.8,26,0,0,3
0.02,143,236.6,23,0,0,3
0.02,144,430.1,24,0,0,3
0.05,97,329.7,21,0,0,9
0.05,98,223.7,17,0,0,9
0.05,99,388.1,16,0,0,9
0.05,100,357.0,20,0,0,9
0.05,101,338.6,24,0,0,9
0.05,102,217.4,22,0,0,9
0.05,103,413.7,27,0,0,9
0.05,104,243.3,17,0,0,9
0.05,105,222.2,21,0,0,9
0.05,106,201.2,15,2,0,9
0.05,107,399.7,21,0,0,9
0.05,108,243.9,17,0,0,9
0.05,109,199.9,23,0,0,9
0.05,110,252.1,16,0,0,9
0.05,111,451.5,26,0,0,9
0.05,112,99.9,12,0,0,9
0.05,113,367.2,26,0,0,9
0.05,114,370.9,21,0,0,9
0.05,115,405.4,25,0,0,9
0.05,116,133.1,15,0,0,9
0.05,117,179.4,19,0,0,9
0.05,118,135.7,10,0,0,9
0.05,119,373.4,18,0,0,9
0.05,120,306.0,20,0,0,9
0.05,121,362.2,19,0,0,9
0.05,122,209.0,20,0,0,9
0.05,123,127.4,8,0,0,9
0.05,124,200.8,17,0,0,9
0.05,125,211.0,15,0,0,9
0.05,126,309.4,19,0,0,9
0.05,127,261.5,16,0,0,9
0.05,128,158.9,17,0,0,9
0.05,129,216.1,19,0,0,9
0.05,130,148.0,16,0,0,9
0.05,131,119.5,9,0,0,9
0.05,132,357.5,18,0,0,9
0.05,133,283.0,17,0,0,9
0.05,134,426.7,22,0,0,9
0.05,135,188.9,15,0,0,9
0.05,136,315.6,22,0,0,9
0.05,137,271.0,21,0,0,9
