arm,seed,onv,stranded,charge_trips,theta_mean
fixed,1,878.6,4,96,0.4
fixed,2,405.4,4,91,0.4
fixed,3,319.8,9,77,0.4
fixed,4,701.5,1,121,0.4
fixed,5,557.9,1,130,0.4
fixed,6,502.7,4,88,0.4
fixed,7,762.0,5,73,0.4
fixed,8,421.0,2,128,0.4
fixed,9,878.7,2,108,0.4
fixed,10,450.6,4,97,0.4
fixed,11,389.2,4,77,0.4
fixed,12,774.7,0,142,0.4
fixed,13,857.0,2,95,0.4
fixed,14,696.3,9,68,0.4
fixed,15,460.2,4,108,0.4
fixed,16,825.5,0,103,0.4
fixed,17,782.4,1,123,0.4
fixed,18,510.1,0,134,0.4
fixed,19,627.2,3,94,0.4
fixed,20,574.3,0,146,0.4
fixed,21,1063.4,5,68,0.4
fixed,22,1051.5,2,98,0.4
fixed,23,811.5,1,117,0.4
fixed,24,572.9,4,73,0.4
fixed,25,660.8,2,121,0.4
fixed,26,1144.1,1,100,0.4
fixed,27,603.7,4,121,0.4
fixed,28,653.2,5,55,0.4
fixed,29,872.5,2,84,0.4
fixed,30,853.6,1,117,0.4
fixed,31,722.7,5,61,0.4
fixed,32,643.3,3,105,0.4
fixed,33,1024.5,2,113,0.4
fixed,34,489.4,0,130,0.4
fixed,35,930.6,1,86,0.4
fixed,36,859.6,1,137,0.4
fixed,37,750.5,2,100,0.4
fixed,38,1120.3,0,118,0.4
fixed,39,923.0,2,117,0.4
fixed,40,1116.6,2,102,0.4
fixed,41,851.4,2,138,0.4
fixed,42,1022.7,0,111,0.4
fixed,43,1216.8,2,108,0.4
fixed,44,917.6,0,116,0.4
fixed,45,587.3,0,109,0.4
fixed,46,750.5,2,105,0.4
fixed,47,750.4,4,117,0.4
fixed,48,290.7,9,59,0.4
osc0.07,1,1001.4,0,122,0.4
osc0.07,2,466.9,0,140,0.4
osc0.07,3,393.9,1,140,0.4
osc0.07,4,831.0,0,141,0.4
osc0.07,5,511.0,1,119,0.4
osc0.07,6,408.6,1,84,0.4
osc0.07,7,872.9,6,93,0.4
osc0.07,8,473.7,2,136,0.4
osc0.07,9,825.0,1,96,0.4
osc0.07,10,508.0,2,121,0.4
osc0.07,11,540.8,1,94,0.4
osc0.07,12,918.1,1,114,0.4
osc0.07,13,918.8,4,110,0.4
osc0.07,14,722.6,1,114,0.4
osc0.07,15,861.1,1,119,0.4
osc0.07,16,803.1,2,100,0.4
osc0.07,17,839.7,2,104,0.4
osc0.07,18,550.7,1,125,0.4
osc0.07,19,887.9,1,133,0.4
osc0.07,20,935.1,4,90,0.4
osc0.07,21,1085.0,0,122,0.4
osc0.07,22,1117.4,1,101,0.4
osc0.07,23,844.2,2,128,0.4
osc0.07,24,682.8,2,117,0.4
osc0.07,25,721.9,0,134,0.4
osc0.07,26,1170.3,1,107,0.4
osc0.07,27,565.2,0,138,0.4
osc0.07,28,635.0,5,65,0.4
osc0.07,29,1047.7,2,106,0.4
osc0.07,30,669.8,2,99,0.4
osc0.07,31,917.4,1,95,0.4
osc0.07,32,652.6,3,104,0.4
osc0.07,33,883.3,0,125,0.4
osc0.07,34,658.5,2,113,0.4
osc0.07,35,939.3,2,93,0.4
osc0.07,36,800.5,0,145,0.4
osc0.07,37,948.3,1,115,0.4
osc0.07,38,906.2,2,116,0.4
osc0.07,39,702.5,2,93,0.4
osc0.07,40,1182.2,2,101,0.4
osc0.07,41,1017.8,1,99,0.4
osc0.07,42,1048.4,1,106,0.4
osc0.07,43,996.4,2,112,0.4
osc0.07,44,901.6,2,93,0.4
osc0.07,45,753.1,0,123,0.4
osc0.07,46,832.2,1,124,0.4
osc0.07,47,802.7,2,113,0.4
osc0.07,48,741.1,1,153,0.4
osc0.10,1,940.5,2,111,0.4
osc0.10,2,512.7,0,124,0.4
osc0.10,3,613.4,0,133,0.4
osc0.10,4,720.0,0,140,0.4
osc0.10,5,640.8,1,106,0.4
osc0.10,6,386.1,2,94,0.4
osc0.10,7,805.3,1,117,0.4
osc0.10,8,381.6,4,123,0.4
osc0.10,9,833.5,1,106,0.4
osc0.10,10,466.5,1,141,0.4
osc0.10,11,481.5,3,92,0.4
osc0.10,12,843.5,0,132,0.4
